EXE: ./bin/hw4, RANKS: 1, SIZE: 3000, GENS: 200, SEC: 1.527000, MEM: 9006000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 3000, GENS: 200, SEC: 1.535000, MEM: 9006000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 3000, GENS: 200, SEC: 1.536000, MEM: 9006000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 3000, GENS: 200, SEC: 0.795000, MEM: 4503000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 3000, GENS: 200, SEC: 0.797000, MEM: 4503000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 3000, GENS: 200, SEC: 0.793000, MEM: 4503000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 3000, GENS: 200, SEC: 0.389000, MEM: 2251500 
EXE: ./bin/hw4, RANKS: 4, SIZE: 3000, GENS: 200, SEC: 0.437000, MEM: 2251500 
EXE: ./bin/hw4, RANKS: 4, SIZE: 3000, GENS: 200, SEC: 0.391000, MEM: 2251500 
EXE: ./bin/hw4, RANKS: 8, SIZE: 3000, GENS: 200, SEC: 0.206000, MEM: 1125750 
EXE: ./bin/hw4, RANKS: 8, SIZE: 3000, GENS: 200, SEC: 0.211000, MEM: 1125750 
EXE: ./bin/hw4, RANKS: 8, SIZE: 3000, GENS: 200, SEC: 0.206000, MEM: 1125750 
EXE: ./bin/hw4, RANKS: 12, SIZE: 3000, GENS: 200, SEC: 0.138000, MEM: 750500 
EXE: ./bin/hw4, RANKS: 12, SIZE: 3000, GENS: 200, SEC: 0.138000, MEM: 750500 
EXE: ./bin/hw4, RANKS: 12, SIZE: 3000, GENS: 200, SEC: 0.138000, MEM: 750500 
EXE: ./bin/hw4, RANKS: 16, SIZE: 3000, GENS: 200, SEC: 0.108000, MEM: 564376 
EXE: ./bin/hw4, RANKS: 16, SIZE: 3000, GENS: 200, SEC: 0.117000, MEM: 564376 
EXE: ./bin/hw4, RANKS: 16, SIZE: 3000, GENS: 200, SEC: 0.144000, MEM: 564376 
EXE: ./bin/hw4, RANKS: 20, SIZE: 3000, GENS: 200, SEC: 0.095000, MEM: 450300 
EXE: ./bin/hw4, RANKS: 20, SIZE: 3000, GENS: 200, SEC: 0.102000, MEM: 450300 
EXE: ./bin/hw4, RANKS: 20, SIZE: 3000, GENS: 200, SEC: 0.094000, MEM: 450300 
EXE: ./bin/hw4, RANKS: 24, SIZE: 3000, GENS: 200, SEC: 0.085000, MEM: 375250 
EXE: ./bin/hw4, RANKS: 24, SIZE: 3000, GENS: 200, SEC: 0.295000, MEM: 375250 
