EXE: ./bin/hw3, THREAD: 8, SIZE: 750, GENS: 5000, SEC: 0.454000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 750, GENS: 5000, SEC: 0.455000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 750, GENS: 5000, SEC: 0.339000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 750, GENS: 5000, SEC: 0.343000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 750, GENS: 5000, SEC: 0.338000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 750, GENS: 5000, SEC: 0.288000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 750, GENS: 5000, SEC: 0.274000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 750, GENS: 5000, SEC: 0.300000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 750, GENS: 5000, SEC: 0.237000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 750, GENS: 5000, SEC: 0.252000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 750, GENS: 5000, SEC: 0.243000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 750, GENS: 5000, SEC: 0.247000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 750, GENS: 5000, SEC: 0.216000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 750, GENS: 5000, SEC: 0.213000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 750, GENS: 5000, SEC: 0.235000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 750, GENS: 5000, SEC: 0.368000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 750, GENS: 5000, SEC: 0.296000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 1500, GENS: 5000, SEC: 10.771000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 1500, GENS: 5000, SEC: 10.860000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 1500, GENS: 5000, SEC: 10.808000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 1500, GENS: 5000, SEC: 5.493000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 1500, GENS: 5000, SEC: 5.633000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 1500, GENS: 5000, SEC: 5.476000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 1500, GENS: 5000, SEC: 2.859000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 1500, GENS: 5000, SEC: 2.917000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 1500, GENS: 5000, SEC: 2.839000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 1500, GENS: 5000, SEC: 1.637000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 1500, GENS: 5000, SEC: 1.605000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 1500, GENS: 5000, SEC: 1.623000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 1500, GENS: 5000, SEC: 1.277000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 1500, GENS: 5000, SEC: 1.307000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 1500, GENS: 5000, SEC: 1.303000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 1500, GENS: 5000, SEC: 0.992000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 1500, GENS: 5000, SEC: 0.987000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 1500, GENS: 5000, SEC: 1.023000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 1500, GENS: 5000, SEC: 0.892000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 1500, GENS: 5000, SEC: 0.882000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 1500, GENS: 5000, SEC: 0.887000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 1500, GENS: 5000, SEC: 0.758000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 1500, GENS: 5000, SEC: 0.769000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 1500, GENS: 5000, SEC: 0.814000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 1500, GENS: 5000, SEC: 0.757000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 1500, GENS: 5000, SEC: 0.724000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 1500, GENS: 5000, SEC: 0.712000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 3000, GENS: 5000, SEC: 42.470000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 3000, GENS: 5000, SEC: 42.434000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 3000, GENS: 5000, SEC: 42.568000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 3000, GENS: 5000, SEC: 21.817000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 3000, GENS: 5000, SEC: 21.854000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 3000, GENS: 5000, SEC: 22.256000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 3000, GENS: 5000, SEC: 12.097000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 3000, GENS: 5000, SEC: 12.195000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 3000, GENS: 5000, SEC: 12.130000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 3000, GENS: 5000, SEC: 7.147000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 3000, GENS: 5000, SEC: 6.929000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 3000, GENS: 5000, SEC: 6.818000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 3000, GENS: 5000, SEC: 5.965000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 3000, GENS: 5000, SEC: 5.986000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 3000, GENS: 5000, SEC: 5.800000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 3000, GENS: 5000, SEC: 4.902000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 3000, GENS: 5000, SEC: 4.957000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 3000, GENS: 5000, SEC: 4.955000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 3000, GENS: 5000, SEC: 4.381000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 3000, GENS: 5000, SEC: 4.305000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 3000, GENS: 5000, SEC: 4.306000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 3000, GENS: 5000, SEC: 3.780000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 3000, GENS: 5000, SEC: 3.764000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 3000, GENS: 5000, SEC: 3.940000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 3000, GENS: 5000, SEC: 3.832000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 3000, GENS: 5000, SEC: 3.753000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 3000, GENS: 5000, SEC: 3.978000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 4000, GENS: 5000, SEC: 76.203000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 4000, GENS: 5000, SEC: 75.224000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 4000, GENS: 5000, SEC: 75.372000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 4000, GENS: 5000, SEC: 38.715000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 4000, GENS: 5000, SEC: 38.743000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 4000, GENS: 5000, SEC: 38.960000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 4000, GENS: 5000, SEC: 21.420000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 4000, GENS: 5000, SEC: 22.003000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 4000, GENS: 5000, SEC: 21.192000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 4000, GENS: 5000, SEC: 13.341000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 4000, GENS: 5000, SEC: 13.512000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 4000, GENS: 5000, SEC: 13.438000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 4000, GENS: 5000, SEC: 12.280000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 4000, GENS: 5000, SEC: 12.400000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 4000, GENS: 5000, SEC: 11.509000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 4000, GENS: 5000, SEC: 12.101000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 4000, GENS: 5000, SEC: 11.311000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 4000, GENS: 5000, SEC: 11.181000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 4000, GENS: 5000, SEC: 10.298000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 4000, GENS: 5000, SEC: 10.616000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 4000, GENS: 5000, SEC: 10.607000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 4000, GENS: 5000, SEC: 10.628000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 4000, GENS: 5000, SEC: 11.233000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 4000, GENS: 5000, SEC: 10.789000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 4000, GENS: 5000, SEC: 10.592000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 4000, GENS: 5000, SEC: 10.518000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 4000, GENS: 5000, SEC: 10.833000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 5000, GENS: 5000, SEC: 117.803000 
